ID,ParkName,LocationName,ParkType,CAPACITY,Open,Close,CountyName,LONGITUDE,LATITUDE
184,Afiyet Hastanesi Onu 1,Umraniye Afiyet Hastanesi On,Yol Ustu,20,8:00:00 AM,6:00:00 PM,Umraniye,29.08409207,41.02411932
185,Akcam Sokak (İs Bankasi Onu) 1,Akcam Sokak (İs Bankasi Onu,Yol Ustu,30,8:00:00 AM,7:00:00 PM,Besiktas,29.00808731,41.08664069
186,Hakimiyet-I Milliye Caddesi 4,Uskudar Hakimiyet-I Milliye Caddes,Yol Ustu,21,8:00:00 AM,7:00:00 PM,Uskudar,29.01557654,41.02418206
187,Persembe Pazari 1,Karakoy Persembe Pazar,Yol Ustu,32,8:00:00 AM,6:00:00 PM,Beyoglu,28.97088273,41.02349666
188,Divan Onu 1,Bebek Arnavutkoy Caddes,Yol Ustu,30,8:00:00 AM,12:00:00 AM,Besiktas,29.04571752,41.07028137
189,Yesil Vadi Sokak 4,Yesil Vadi Soka,Yol Ustu,40,8:00:00 AM,6:00:00 PM,Atasehir,29.10582438,40.96707165
190,Prof.Cemil Birsel Yokusu 1,Prof.Dr.Cemil Birsel Caddes,Yol Ustu,50,7:00:00 AM,6:00:00 PM,Fatih,28.96713154,41.0179394
191,Ragip Gumuspala Camii Onu 2,Ragip Gumuspala Caddesi (Camii Onu,Yol Ustu,36,8:00:00 AM,6:00:00 PM,Fatih,28.96319648,41.020591
192,Kabasakal Medrese Onu,Kabasakal Medrese On,Acik Otopark,65,8:00:00 AM,2:00:00 AM,Fatih,28.9789054,41.00617321
193,Caglayan 2,Caglayan Vatan Caddes,Yol Ustu,60,8:00:00 AM,6:00:00 PM,Kagithane,28.98181589,41.07698358
194,Dalbasti Sokak 1,Sultanahmet Turist Otopark,Yol Ustu,250,8:00:00 AM,9:00:00 PM,Fatih,28.97865232,41.00617519
195,Kartal Uskudar Caddesi 1,Kartal Uskudar Caddes,Yol Ustu,50,8:00:00 AM,6:00:00 PM,Kartal,29.18358617,40.88900102
196,Cihannuma Yol Ustu 2,Cihannuma Yol Ustu Otopark,Yol Ustu,75,8:00:00 AM,11:00:00 PM,Besiktas,29.00938622,41.04889108
197,Cihannuma Yol Ustu 3,Cihannuma Yol Ustu Otopark,Yol Ustu,75,8:00:00 AM,11:00:00 PM,Besiktas,29.00918715,41.04818722
198,Cihannuma Yol Ustu 6,Cihannuma Yol Ustu Otopark,Yol Ustu,50,8:00:00 AM,11:00:00 PM,Besiktas,29.00887121,41.04524619
199,Beykoz Yalikoy 1,Beykoz-Yaliko,Yol Ustu,26,9:00:00 AM,6:00:00 PM,Beykoz,29.08860922,41.13556487
200,Kanlica Baris Manco Caddesi 1,Kanlica Baris Manco Caddes,Yol Ustu,18,9:00:00 AM,7:00:00 PM,Beykoz,29.06620897,41.10012189
201,Oda Kule Onu 2,Odakule On,Yol Ustu,30,7:00:00 AM,12:00:00 AM,Beyoglu,28.97496822,41.03224616
202,Su Terazisi Sokak,Su Terazisi Soka,Yol Ustu,22,8:00:00 AM,6:00:00 PM,Fatih,28.9726776,41.00458072
203,Aksaray Caddesi 1,Aksaray Caddes,Yol Ustu,45,8:00:00 AM,6:00:00 PM,Fatih,28.95438796,41.00773346
204,Aksaray Caddesi 2,Aksaray Caddes,Yol Ustu,31,8:00:00 AM,6:00:00 PM,Fatih,28.95499254,41.00883033
205,Turbedar Sokak,Turbedar Soka,Yol Ustu,35,7:00:00 AM,5:00:00 PM,Fatih,28.97243799,41.00894376
206,Siyavus Pasa Sokak,Siyavus Pasa Soka,Yol Ustu,18,7:30:00 AM,6:00:00 PM,Fatih,28.96601035,41.01532092
207,Kadikoy Egitim Mahallesi Acik Otoparki,Kadikoy Egitim Mahallesi Acik Otopark,Acik Otopark,50,8:00:00 AM,7:00:00 PM,Kadikoy,29.04259338,40.99235324
208,Fevzipasa Caddesi 4,Fevzipasa Caddes,Yol Ustu,26,8:00:00 AM,7:00:00 PM,Fatih,28.95069691,41.01664923
209,Fevzipasa Caddesi 12,Fevzipasa Caddes,Yol Ustu,30,8:00:00 AM,7:00:00 PM,Fatih,28.9472841,41.02003603
210,Baskomutan Caddesi 2,Baskomutan Caddes,Yol Ustu,100,9:00:00 AM,5:30:00 PM,Silivri,28.24586686,41.07410057
211,Baskomutan Caddesi 5,Baskomutan Caddes,Yol Ustu,50,9:00:00 AM,5:30:00 PM,Silivri,28.24865261,41.07349974
212,Ciragan Sarayi Yol Ustu 1,Ciragan Sarayi Yol Ust,Yol Ustu,40,8:00:00 AM,11:00:00 PM,Besiktas,29.01626846,41.04480962
213,Cihangir Caddesi 2,Cihangir Caddes,Yol Ustu,70,9:00:00 AM,8:00:00 PM,Beyoglu,28.98664019,41.03125203
214,Eski Sali Pazari 1,Eski Sali Pazar,Acik Otopark,760,12:00:00 AM,11:59:00 PM,Kadikoy,29.03346967,40.99057992
215,Etyemez Tekkesi Sokak 2,Etyemez Tekkesi Soka,Yol Ustu,59,8:00:00 AM,5:00:00 PM,Fatih,28.93665608,41.0029341
216,İmc Onu 8,İm,Yol Ustu,35,8:30:00 AM,6:30:00 PM,Fatih,28.95909515,41.02013665
217,Horhor Caddesi Uzeri Cep 1,Horhor Caddesi Uzeri Ce,Yol Ustu,40,8:00:00 AM,6:00:00 PM,Fatih,28.95185732,41.01420259
218,Millet Caddesi 2,Millet Caddes,Yol Ustu,45,7:30:00 AM,6:30:00 PM,Fatih,28.94577811,41.01009981
219,Kasim Sokak 2,Gungoren Kasim Soka,Yol Ustu,50,8:00:00 AM,7:00:00 PM,Gungoren,28.88625757,41.00917569
220,Kasim Sokak 3,Gungoren Kasim Soka,Yol Ustu,50,8:00:00 AM,7:00:00 PM,Gungoren,28.88809724,41.00953999
221,Sabanci Ogretmen Evi Onu 1,Sabanci Ogretmen Evi On,Yol Ustu,27,9:00:00 AM,8:00:00 PM,Beykoz,29.06539465,41.07930313
222,Yesilkoy İstasyon Caddesi 2,Yesilkoy İstasyon Caddes,Yol Ustu,35,8:00:00 AM,6:00:00 PM,Bakirkoy,28.82482619,40.96187919
223,Yesilkoy İstasyon Caddesi 5,Yesilkoy İstasyon Caddes,Yol Ustu,50,8:00:00 AM,6:00:00 PM,Bakirkoy,28.8233813,40.95981468
224,Yesilkoy İstasyon Caddesi 6,Yesilkoy İstasyon Caddes,Yol Ustu,50,8:00:00 AM,6:00:00 PM,Bakirkoy,28.8231015,40.95946519
225,Resitapasa Caddesi 1,Resitpasa Caddes,Yol Ustu,45,8:30:00 AM,5:30:00 PM,Avcilar,28.71874428,40.98052538
226,Gurpinar Yolu Caddesi 1,Gurpinar Yolu Caddes,Yol Ustu,40,8:00:00 AM,6:00:00 PM,Beylikduzu,28.6275832,41.01857117
227,Gurpinar Yolu Caddesi 4,Gurpinar Yolu Caddes,Yol Ustu,30,8:00:00 AM,6:00:00 PM,Beylikduzu,28.62742882,41.01777846
228,Acibadem P+R 1,Acibadem P+,Yol Ustu,80,6:00:00 AM,5:00:00 PM,Uskudar,29.05993378,41.01364936
229,Emirgan Sahil 1,Emirgan Sahi,Yol Ustu,50,8:00:00 AM,12:00:00 AM,Sariyer,29.05716773,41.10599394
230,Kartal İdo Acik Otoparki,Kartal İdo Acik Otopark,Acik Otopark,90,12:00:00 AM,11:59:00 PM,Kartal,29.18806335,40.88733955
231,İshakpasa Caddesi,İshakpasa Caddes,Yol Ustu,200,8:00:00 AM,2:00:00 AM,Fatih,28.98149284,41.00805097
232,Levent Metro Yer Alti Otoparki,Levent Metro Yer Alti Otopark,Kapali Otopark,100,7:30:00 AM,7:30:00 PM,Besiktas,29.01065591,41.08114868
